url,arquivo,bytes,variante,status
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1701720275120-LCVHLCPN2A68NAI1AKTP/Untitled_1.3.4.PRE.jpg,031_Untitled_1.3.4.PRE.jpg,197781,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1703272957987-XH1XBLPWMO9V060PDLH4/Capa-1140x683.jpg,032_Capa-1140x683.jpg,612598,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1713025146130-FSXC9KR29D63LC9V32CR/Untitled_1.27.1.jpg,033_Untitled_1.27.1.jpg,625722,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1717015442610-BF42FWMXSAFLYN2UCMU3/Brand_product.png,034_Brand_product.png,330555,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1717088034355-L0W7OH1PO26TB7KOKB0O/1.1.1_1.1.1-min.png,035_1.1.1_1.1.1-min.png,3202804,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1717088122298-OVZYNPJ8TNW16YWO0V0H/1.15.1_1.15.1-min.png,036_1.15.1_1.15.1-min.png,5683227,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1717448849036-BGMUB7FN2C5PEFIAPURS/Untitled_1.1.2.jpg,037_Untitled_1.1.2.jpg,155764,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1718731348279-RN8ELN0PL07HR1QKIZRZ/Untitled_1.25.1.T.jpg,038_Untitled_1.25.1.T.jpg,312393,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1723654762980-TBS9GYG0WYGFUVZA9VY8/Untitled_1.21.1.jpg,039_Untitled_1.21.1.jpg,649799,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1724353216625-BEJDYH59QNJBFA3NA7J0/Untitled_1.17.2.jpg,040_Untitled_1.17.2.jpg,344400,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1724353216625-BEJDYH59QNJBFA3NA7J0/Untitled_1.17.2.jpg"",",041_Untitled_1.17.2.jpg__,344400,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/172c1bb3-3fc3-4230-8268-75f918ac85e0/Untitled_1.21.1.jpg,042_Untitled_1.21.1.jpg,649799,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1739018602624-KG56SJISQLL9D29MZYK6/Foto+de+Capa.jpg,043_Foto de Capa.jpg,326787,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/17b5acb9-3fbc-42a7-a520-cd03e5a715da/COLOR+CONCEPT+37.PNG,044_COLOR CONCEPT 37.PNG,3653870,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/17b5acb9-3fbc-42a7-a520-cd03e5a715da/COLOR+CONCEPT+37.PNG"",",045_COLOR CONCEPT 37.PNG__,3653870,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/18898b14-78c5-411c-afd0-1c9c203937c3/Untitled_1.14.1.T.jpg,046_Untitled_1.14.1.T.jpg,443818,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/197b08c6-6deb-4b50-a1e7-d181f80bd48c/Untitled_1.3.1.T.jpg,047_Untitled_1.3.1.T.jpg,231916,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/1c143fd9-5bf1-4589-b315-a61918b5f9ba/Untitled_1.9.1.T.jpg,048_Untitled_1.9.1.T.jpg,421042,format=original,ok
